GMT,CFDM1,CFDM1
,QME,SQME
1962-11-12 00:00:00,37.661392,52.082394
1962-11-13 00:00:00,47.572266,62.951256
1962-11-14 00:00:00,40.209824,51.926945
1962-11-15 00:00:00,30.582106,40.683178
1962-11-16 00:00:00,24.777191,32.462112
1962-11-17 00:00:00,22.96485,25.88087
1962-11-18 00:00:00,21.039429,20.399044
1962-11-19 00:00:00,19.453554,17.337633
1962-11-20 00:00:00,16.16903,15.547847
1962-11-21 00:00:00,15.008046,14.214347
1962-11-22 00:00:00,13.818717,13.130174
1962-11-23 00:00:00,18.122797,21.146109
1962-11-24 00:00:00,46.15647,49.1621
1962-11-25 00:00:00,52.10312,45.344177
1962-11-26 00:00:00,44.17436,36.35136
1962-11-27 00:00:00,32.281063,29.294022
1962-11-28 00:00:00,24.777191,24.600712
1962-11-29 00:00:00,20.019873,23.36749
1962-11-30 00:00:00,17.301666,24.876554
1962-12-01 00:00:00,15.460979,25.152704
1962-12-02 00:00:00,14.554809,24.61961
1962-12-03 00:00:00,14.130222,23.139805
1962-12-04 00:00:00,13.507211,20.47494
1962-12-05 00:00:00,13.422172,18.168518
1962-12-06 00:00:00,13.224052,16.62623
1962-12-07 00:00:00,15.234512,21.532595
1962-12-08 00:00:00,46.43963,50.381912
1962-12-09 00:00:00,59.1821,56.039917
1962-12-10 00:00:00,51.5368,46.571
1962-12-11 00:00:00,41.0593,38.943684
1962-12-12 00:00:00,32.564526,34.118702
1962-12-13 00:00:00,23.219967,27.456078
1962-12-14 00:00:00,16.99016,21.756014
1962-12-15 00:00:00,13.308786,18.325184
1962-12-16 00:00:00,11.609831,16.16202
1962-12-17 00:00:00,10.902085,14.46794
1962-12-18 00:00:00,10.477195,13.236854
1962-12-19 00:00:00,10.0526085,12.446507
1962-12-20 00:00:00,9.627717,11.763145
1962-12-21 00:00:00,9.0613985,11.125199
1962-12-22 00:00:00,8.778239,10.543032
1962-12-23 00:00:00,8.49508,9.995001
1962-12-24 00:00:00,8.211921,9.522866
1962-12-25 00:00:00,8.070189,9.071457
1962-12-26 00:00:00,7.928762,8.650833
